date,race,rider,rank,team
19-02-2017, 2017   »   GP Laguna Porec (1.2),nbcoureurs,109,all
19-02-2017, 2017   »   GP Laguna Porec (1.2),Paolo_Toto,2,Sangemini-MGKvis_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Stephan_Rabitsch,3,Team_Felbermayr_-_Simplon_Wels__2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),nicola_Gaffurini,4,Sangemini-MGKvis_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Andrea_Borso,6,Adria_Mobil_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Stanislau_Bazhkou,7,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Tadej_Pogacar,8,ROG_Ljubljana_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Peter_Kusztor,9,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Ettore_Carlini,10,d_Amico_Utensilnord_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Sebastian_Baldauf,11,Team_Vorarlberg_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Jure_Golcer,13,Adria_Mobil_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Helmut_Trettwer,14,WSA-Greenlife_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Eduard_Vorganov,15,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Hermann_Pernsteiner,16,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),James_Mclaughlin,17,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Riccardo_Zoidl,18,Team_Felbermayr_-_Simplon_Wels__2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),nicola_Genovese,21,d_Amico_Utensilnord_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Filippo_Fortin,22,Tirol_Cycling_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Rok_Korosec,23,Amplatz_-_BMC_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Ziga_Jerman,24,ROG_Ljubljana_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Daniel_Auer,25,Team_Felbermayr_-_Simplon_Wels__2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Gasper_Katrasnik,26,Adria_Mobil_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Fabian_Lienhard,28,Team_Vorarlberg_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Thery_Schir,29,Team_Vorarlberg_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Dusan_Rajovic,30,Adria_Mobil_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Jon_Bozic,32,Adria_Mobil_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Zsolt_Der,33,Team_Vorarlberg_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Marco_Molteni,34,Unieuro_Trevigiani_Hemus_1896_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Andreas_Hofer,35,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Davide_Orrico,36,Sangemini-MGKvis_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Hans_jorg_Leopold,39,WSA-Greenlife_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Yauhen_Sobal,40,Minsk_Cycling_Club_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Matija_Kvasina,42,Team_Felbermayr_-_Simplon_Wels__2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Michele_Gazzarra,43,Sangemini-MGKvis_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Izidor_Penko,44,ROG_Ljubljana_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Bruno_Maltar,46,Meridiana_Kamen_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Stefan_Poll,47,WSA-Greenlife_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),niccolo_Salvietti,48,Sangemini-MGKvis_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Emanuel_Kiserlovski,49,Meridiana_Kamen_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Florian_Bissinger,52,WSA-Greenlife_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Dennis_Paulus,53,Team_Hrinkow_Advarics_Cycleang_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Uros_Repse,54,Meridiana_Kamen_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Patrick_Gamper,55,Tirol_Cycling_Team_2017
19-02-2017, 2017   »   GP Laguna Porec (1.2),Gian_Friesecke,56,Team_Vorarlberg_2017
