01-03-2017 Le Samyn,Anthony_Delaplace,39,,01-03-2017 Le Samyn,02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,05-03-2017 1st Dwars door West-Vlaanderen Johan Museeuw Classic,05-04-2017 105th Scheldeprijs,09-04-2017 115th Paris-Roubaix,11-03-2017 Ronde van Drenthe,11-04-2017 Paris-Camembert,12-02-2017 54th Trofeo Laigueglia,12-04-2017 57th De Brabantse Pijl - La Flèche Brabançonne,13-04-2017 58th GP de Denain - Porte du Hainaut / Valenciennes Métropole,15-03-2017 72nd Danilith - Nokere Koerse,15-04-2017 32nd Tour du Finistère,17-04-2017 34th Tro-Bro Léon,18-03-2017 Classic Loire Atlantique,21-05-2017 Grand Prix de la Somme « Conseil Général 80»,21-06-2017 70th Halle Ingooigem,22-06-2017 National Championships France - ITT,25-02-2017 Classic Sud Ardèche - Souvenir Francis Delpech,25-06-2017 National Championships France - Road Race,26-01-2017 Trofeo Porreres Felanitx Ses Salines Campos,26-02-2017 69th Kuurne-Bruxelles-Kuurne,26-02-2017 Royal Bernard Drome Classic,27-01-2017 Trofeo Serra de Tramuntana,27-05-2017 Grand Prix de Plumelec-Morbihan,28-01-2017 Trofeo Andratx-Mirador des Colomer,28-05-2017 18th Boucles de l'Aulne - Chateaulin,29-01-2017 Grand Prix Cycliste la Marseillaise,29-01-2017 Trofeo Palma,31-03-2017 22nd Route Adélie de Vitré,,
01-03-2017 Le Samyn,Arnaud_Gerard,34,Anthony_Delaplace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2017 Le Samyn,Benoit_Jarrier,15,Armindo_Fonseca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2017 Le Samyn,Boris_Vallee,25,Arnaud_Gerard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2017 Le Samyn,Florian_Vachon,23,Arnold_Jeannesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-2017 Le Samyn,nbcoureurs,52,Benoit_Jarrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,Boris_Vallee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,Anthony_Delaplace,3,Brice_Feillu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,Armindo_Fonseca,62,Daniel_Mclay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,Arnaud_Gerard,49,Eduardo_Sepulveda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,Daniel_Mclay,33,Elie_Gesbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,Erwann_Corbel,25,Erwann_Corbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,Florian_Vachon,68,Florian_Vachon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
