epreuve,nbcoureurs,Anthony_Delaplace,Armindo_Fonseca,Arnaud_Gerard,Arnold_Jeannesson,Benoit_Jarrier,Boris_Vallee,Brice_Feillu,Daniel_Mclay,Eduardo_Sepulveda,Elie_Gesbert,Erwann_Corbel,Florian_Vachon,Francis_Mourey,Franck_Bonnamour,Kevin_Ledanois,Laurent_Pichon,Maxime_Bouet,Maxime_Daniel,Pierre_Luc_Perichon,Romain_Hardy
26-01-2017 Trofeo Porreres Felanitx Ses Salines Campos,142,0,0,62,0,115,28,0,3,0,0,36,0,0,0,96,116,0,104,0,0
27-01-2017 Trofeo Serra de Tramuntana,93,0,0,82,0,83,0,0,0,0,0,0,0,0,17,28,84,0,85,0,0
28-01-2017 Trofeo Andratx-Mirador des Colomer,78,0,0,0,0,29,0,0,0,0,0,0,0,0,0,31,0,0,0,41,0
29-01-2017 Grand Prix Cycliste la Marseillaise,108,26,74,0,27,0,0,55,0,0,0,0,50,0,0,0,0,2,0,0,15
29-01-2017 Trofeo Palma,127,0,0,91,0,76,35,0,1,0,0,0,0,0,119,89,84,0,0,86,0
12-02-2017 54th Trofeo Laigueglia,78,0,0,0,0,73,0,67,0,0,0,0,0,0,0,0,0,14,0,0,2
25-02-2017 Classic Sud Ardèche - Souvenir Francis Delpech,99,10,88,89,12,0,0,16,0,4,0,0,0,0,0,0,91,0,0,0,71
26-02-2017 69th Kuurne-Bruxelles-Kuurne,131,0,0,0,0,0,0,0,34,0,0,0,89,0,101,0,0,0,0,129,0
26-02-2017 Royal Bernard Drome Classic,92,26,51,74,20,0,0,68,0,0,0,0,0,0,0,0,30,0,0,0,7
01-03-2017 Le Samyn,52,39,0,34,0,15,25,0,0,0,0,0,23,0,0,0,0,0,0,0,0
05-03-2017 1st Dwars door West-Vlaanderen Johan Museeuw Classic,39,0,0,0,0,0,0,0,0,0,0,0,14,0,34,0,0,0,0,0,0
11-03-2017 Ronde van Drenthe,94,49,30,0,0,31,0,0,0,0,0,70,0,0,15,0,0,0,0,0,0
15-03-2017 72nd Danilith - Nokere Koerse,168,0,0,0,0,42,22,0,0,0,0,151,86,139,70,0,0,0,0,0,0
18-03-2017 Classic Loire Atlantique,96,16,56,66,0,0,0,22,0,0,0,0,13,0,18,0,1,0,0,15,0
31-03-2017 22nd Route Adélie de Vitré,86,44,9,0,0,49,0,0,0,0,50,0,33,54,0,0,1,0,0,0,16
02-04-2017 16th La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle,124,3,62,49,0,0,0,0,33,0,0,25,68,83,64,0,0,0,0,0,0
05-04-2017 105th Scheldeprijs,155,0,0,0,0,0,37,0,0,0,83,19,0,127,110,0,0,0,33,90,0
09-04-2017 115th Paris-Roubaix,102,0,0,0,0,0,100,0,0,0,0,0,0,81,86,0,0,0,0,55,0
11-04-2017 Paris-Camembert,66,38,4,35,41,0,0,0,0,0,0,0,23,0,0,0,7,0,0,0,29
12-04-2017 57th De Brabantse Pijl - La Flèche Brabançonne,127,0,0,0,0,0,0,0,0,40,107,0,106,0,22,0,0,55,0,0,0
13-04-2017 58th GP de Denain - Porte du Hainaut / Valenciennes Métropole,123,39,0,0,0,0,4,0,0,0,0,28,78,99,0,0,0,80,26,0,0
15-04-2017 32nd Tour du Finistère,73,0,44,0,0,0,0,0,0,30,37,0,0,0,9,0,13,0,60,0,6
17-04-2017 34th Tro-Bro Léon,64,16,0,50,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,20,0
21-05-2017 Grand Prix de la Somme « Conseil Général 80»,77,0,0,33,0,0,0,0,0,0,52,7,0,0,56,15,0,0,0,0,0
27-05-2017 Grand Prix de Plumelec-Morbihan,69,47,0,41,53,0,0,61,0,0,0,0,40,0,10,0,7,0,0,0,0
28-05-2017 18th Boucles de l'Aulne - Chateaulin,82,71,0,0,0,0,0,61,0,0,0,0,27,0,18,0,3,0,0,34,0
21-06-2017 70th Halle Ingooigem,92,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,4,0,0
22-06-2017 National Championships France - ITT,59,0,0,32,0,0,0,27,0,0,41,0,28,0,0,0,0,16,0,8,0
25-06-2017 National Championships France - Road Race,95,0,88,80,0,0,0,26,0,0,70,22,60,49,46,6,14,18,0,4,63
