FROOME Christopher,TEAM SKY
HENAO Sergio Luis,TEAM SKY
KIRYIENKA Vasili,TEAM SKY
KNEES Christian,TEAM SKY
KWIATKOWSKI Michal,TEAM SKY
LANDA Mikel,TEAM SKY
NIEVE Mikel,TEAM SKY
ROWE Luke,TEAM SKY
THOMAS Geraint,TEAM SKY
BARDET Romain,AG2R LA MONDIALE
BAKELANTS Jan,AG2R LA MONDIALE
DOMONT Axel,AG2R LA MONDIALE
FRANK Mathias,AG2R LA MONDIALE
GASTAUER Ben,AG2R LA MONDIALE
GAUTIER Cyril,AG2R LA MONDIALE
LATOUR Pierre-Roger,AG2R LA MONDIALE
NAESEN Oliver,AG2R LA MONDIALE
VUILLERMOZ Alexis,AG2R LA MONDIALE
QUINTANA Nairo,MOVISTAR TEAM
AMADOR Andrey,MOVISTAR TEAM
BENNATI Daniele,MOVISTAR TEAM
BETANCUR Carlos Alberto,MOVISTAR TEAM
CASTROVIEJO Jonathan,MOVISTAR TEAM
ERVITI Imanol,MOVISTAR TEAM
HERRADA Jesus,MOVISTAR TEAM
SUTTERLIN Jasha,MOVISTAR TEAM
VALVERDE Alejandro,MOVISTAR TEAM
CONTADOR Alberto,TREK - SEGAFREDO
DE KORT Koen,TREK - SEGAFREDO
DEGENKOLB John,TREK - SEGAFREDO
FELLINE Fabio,TREK - SEGAFREDO
GOGL Michael,TREK - SEGAFREDO
IRIZAR Markel,TREK - SEGAFREDO
MOLLEMA Bauke,TREK - SEGAFREDO
PANTANO Jarlinson,TREK - SEGAFREDO
ZUBELDIA Haimar,TREK - SEGAFREDO
PORTE Richie,BMC RACING TEAM
CARUSO Damiano,BMC RACING TEAM
DE MARCHI Alessandro,BMC RACING TEAM
KUNG Stefan,BMC RACING TEAM
MOINARD Amael,BMC RACING TEAM
ROCHE Nicolas,BMC RACING TEAM
SCHAR Michael,BMC RACING TEAM
VAN AVERMAET Greg,BMC RACING TEAM
WYSS Danilo,BMC RACING TEAM
ARU Fabio,ASTANA PRO TEAM
CATALDO Dario,ASTANA PRO TEAM
FUGLSANG Jakob,ASTANA PRO TEAM
GRIVKO Andriy,ASTANA PRO TEAM
GRUZDEV Dmitriy,ASTANA PRO TEAM
KOZHATAYEV Bakhtiyar,ASTANA PRO TEAM
LUTSENKO Alexey,ASTANA PRO TEAM
VALGREN ANDERSEN Michael,ASTANA PRO TEAM
ZEITS Andrey,ASTANA PRO TEAM
MEINTJES Louis,UAE TEAM EMIRATES
ATAPUMA John Darwin,UAE TEAM EMIRATES
BONO Matteo,UAE TEAM EMIRATES
DURASEK Kristijan,UAE TEAM EMIRATES
LAENGEN Vegard Stake,UAE TEAM EMIRATES
MARCATO Marco,UAE TEAM EMIRATES
MORI Manuele,UAE TEAM EMIRATES
SWIFT Ben,UAE TEAM EMIRATES
ULISSI Diego,UAE TEAM EMIRATES
DEMARE Arnaud,FDJ
CIMOLAI Davide,FDJ
DELAGE Mickael,FDJ
GUARNIERI Jacopo,FDJ
KONOVALOVAS Ignatas,FDJ
LE GAC Olivier,FDJ
MOLARD Rudy,FDJ
PINOT Thibaut,FDJ
VICHOT Arthur,FDJ
CHAVES Johan Esteban,ORICA - SCOTT
ALBASINI Michael,ORICA - SCOTT
DURBRIDGE Luke,ORICA - SCOTT
HAYMAN Mathew,ORICA - SCOTT
HOWSON Damien,ORICA - SCOTT
IMPEY Daryl,ORICA - SCOTT
KEUKELEIRE Jens,ORICA - SCOTT
KREUZIGER Roman,ORICA - SCOTT
YATES Simon,ORICA - SCOTT
CAVENDISH Mark,TEAM DIMENSION DATA
BOASSON HAGEN Edvald,TEAM DIMENSION DATA
CUMMINGS Stephen,TEAM DIMENSION DATA
EISEL Bernhard,TEAM DIMENSION DATA
JANSE VAN RENSBURG Reinardt,TEAM DIMENSION DATA
PAUWELS Serge,TEAM DIMENSION DATA
RENSHAW Mark,TEAM DIMENSION DATA
THWAITES Scott,TEAM DIMENSION DATA
VENTER Jacobus,TEAM DIMENSION DATA
KITTEL Marcel,QUICK - STEP FLOORS
BAUER Jack,QUICK - STEP FLOORS
BRAMBILLA Gianluca,QUICK - STEP FLOORS
GILBERT Philippe,QUICK - STEP FLOORS
MARTIN Daniel,QUICK - STEP FLOORS
SABATINI Fabio,QUICK - STEP FLOORS
STYBAR Zdenek,QUICK - STEP FLOORS
TRENTIN Matteo,QUICK - STEP FLOORS
VERMOTE Julien,QUICK - STEP FLOORS
SAGAN Peter,BORA - HANSGROHE
BODNAR Maciej,BORA - HANSGROHE
BUCHMANN Emanuel,BORA - HANSGROHE
BURGHARDT Marcus,BORA - HANSGROHE
MAJKA Rafal,BORA - HANSGROHE
MC CARTHY Jay,BORA - HANSGROHE
