epreuve,nbcoureurs,FEILLU_Brice,PICHON_Laurent,BOUET_Maxime,PERICHON_Pierre-Luc,MC_LAY_DANIEL,VACHON_Florian,HARDY_Romain,GESBERT_Elie,SEPULVEDA_Eduardo,BARDET_Romain,BAKELANTS_Jan,DOMONT_Axel,FRANK_Mathias,GASTAUER_Ben,GAUTIER_Cyril,LATOUR_Pierre-Roger,NAESEN_Oliver,VUILLERMOZ_Alexis
1,198,148,163,97,83,114,130,173,138,105,63,99,127,104,119,169,17,126,90
2,198,126,181,86,74,103,166,144,168,94,56,88,188,93,108,140,16,115,80
3,198,56,168,50,120,126,130,110,80,69,24,48,190,46,97,108,6,88,39
4,198,55,165,49,113,119,123,150,78,69,23,47,189,45,94,104,5,86,38
5,198,33,171,44,83,161,138,65,49,37,7,42,184,27,70,74,12,68,34
6,198,33,176,43,93,153,131,62,58,37,7,41,182,27,68,71,12,67,34
7,198,33,171,48,108,152,131,61,58,37,7,41,182,27,65,69,12,64,34
8,198,29,142,63,101,166,115,35,116,31,7,41,114,36,66,69,12,64,30
9,198,20,147,63,95,165,103,42,104,34,3,24,81,45,44,67,13,64,17
10,198,20,145,61,93,163,100,42,109,36,3,24,78,44,43,64,13,62,17
11,198,20,148,61,91,160,98,42,104,37,3,24,77,44,43,64,13,62,17
12,198,20,124,51,75,168,99,37,103,52,3,25,62,43,45,49,13,58,15
13,198,20,121,44,62,167,98,34,104,54,3,27,64,42,36,48,13,59,16
14,198,20,111,42,57,175,98,30,116,64,3,26,59,38,33,44,12,54,16
15,198,19,115,49,46,175,98,29,110,70,3,25,61,38,36,41,14,58,16
16,198,19,139,47,42,173,107,28,99,69,3,24,64,35,33,51,13,53,14
17,198,16,138,51,45,0,109,31,100,70,3,25,68,29,34,46,22,62,13
18,198,16,126,53,51,0,104,30,98,65,2,24,68,29,35,46,25,63,14
19,198,16,125,55,43,0,105,27,87,67,2,22,68,30,37,47,26,64,14
20,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
